Id;StartDate;ProformaNo;InvoiceDate;InvoiceNumber;CustomerName;CustomerCountry;SalesPeople;TotalPrice;Currency;State;LastModifiedDate
2928;2017-09-12;2354;;;BİLHAN OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;43,000.00;0;1;
2929;2017-09-11;2348;14.11.2017;3312;Standard Trade;RUSSIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;41,386.26;1;7;
2930;2017-09-11;2351;11.10.2017;3304;Mir Car srl;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;6,859.97;1;1;
2931;2017-09-08;2345;19.09.2017;3244;IPS PARTS S.R.L;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;19,195.00;1;1;
2932;2017-09-08;2346;5.12.2017;3482;Planet Avto;POLAND;2284ecc5-24c0-4129-8476-4c8c442b2af4;24,223.32;1;1;
2933;2017-09-07;2338;9.10.2017;3268;MGA S.R.L;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;17,736.20;1;1;
2934;2017-09-07;2339;;;ARAS OTOMOTİV-ERHAN DEMİRCİKÖYÜ;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;1,500.00;0;1;
2935;2017-09-07;2343;20.09.2017;3278;SPEKTRUM SP.z o.o.;POLAND;3ca025a7-a4b4-4d81-93d3-fe755eb34455;47,474.62;1;1;
2936;2017-09-07;2344;;;OTO RAS MADENİ YAĞ & FİLTRE;;5017c88e-0ce0-4bc1-a362-4222fa152183;6,300.00;0;1;
2937;2017-09-06;2333;;;MERCAN MOTORLU ARAÇLAR;;5017c88e-0ce0-4bc1-a362-4222fa152183;12,711.87;0;1;
2938;2017-09-06;2334;;;WEPA OTOMOTİV YEDEK PARÇA LDT.ŞTİ;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;30,192.00;0;1;
2939;2017-09-06;2335;;;MERCAN MOTORLU ARAÇLAR;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0;0;1;
2940;2017-09-06;2336;;;KULAÇ OTO SAN. TİC. LTD. ŞTİ.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;13,875.00;0;1;
2941;2017-09-06;2337;;;ATA DIŞ TİCARET HASAN SALTAN;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;704,114.00;0;1;
2942;2017-09-04;2328;3.11.2017;3401;Inout Spa;Hungary;2284ecc5-24c0-4129-8476-4c8c442b2af4;108,181.20;1;1;
2943;2017-09-01;2327;21.09.2017;3246;C.D.A. S.p.A.;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;54,132.75;1;1;
2944;2017-08-29;2325;20.09.2017;3248;Carparts import export k.f.t.;Hungary;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;54,336.50;1;1;
2945;2017-08-29;2326;;;ATEŞLER OTOMOTİV SAN. TİC. LTD. ŞTİ.;;79a14514-381f-472e-a9ef-8e2d03fb5651;820;0;1;
2946;2017-08-28;2324;26.10.2017;3308;EHS Gmbh Vertriebscenter;GERMANY;614413df-5596-4d01-a932-c870a26ed87e;32,799.15;1;1;
2947;2017-08-25;2319;;;KULAÇ OTO SAN. TİC. LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;17,370.00;0;1;
2948;2017-08-25;2321;;;MEST DIŞ TİCARET LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;17,750.00;0;1;
2949;2017-08-25;2322;18.09.2017;3241;Premier Supply;CHINA;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;41,581.00;1;1;
2950;2017-08-25;2323;22.09.2017;3260;IDIR S.P.A;ITALY;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;53,769.60;1;1;
2951;2017-08-24;2315;;;WEPA OTOMOTİV YEDEK PARÇA LDT.ŞTİ;TÜRKİYE;79a14514-381f-472e-a9ef-8e2d03fb5651;3,027.00;0;1;
