Id;StartDate;ProformaNo;InvoiceDate;InvoiceNumber;CustomerName;CustomerCountry;SalesPeople;TotalPrice;Currency;State;LastModifiedDate
2202;2018-07-18;3332;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;129600.00;0;1;
2203;2018-07-18;3333;;;ALBAYRAK;;16fd008b-6da8-48a9-984a-83ecffe7436c;0.00;0;1;
2204;2018-07-18;3335;2.08.2018;ERK2018000000160;SKAMA;Greece;c348e81c-a4dd-4ba2-a633-beaaf9e59aaf;5194.46;1;1;
2205;2018-07-17;3315;;;CEYLAN TİCARET;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;27000.00;0;1;
2206;2018-07-17;3316;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;14400.00;0;1;
2207;2018-07-17;3317;;;Galip Tic.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;12500.00;0;1;
2208;2018-07-17;3320;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;5017c88e-0ce0-4bc1-a362-4222fa152183;6122.00;0;1;
2209;2018-07-17;3321;;;KAZAZLAR;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;18829.50;0;1;
2210;2018-07-17;3322;;;YCL OTOMOTİV;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;3092.20;0;1;
2211;2018-07-17;3323;;;TOKAÇ OTO GÜRHAN ÖKSÜZ;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;5700.00;0;1;
2212;2018-07-17;3324;;;OTO KARABİNA;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;1900.00;0;1;
2213;2018-07-17;3325;;;OĞUZ TİCARET;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;7825.00;0;1;
2214;2018-07-17;3326;20.07.2018;ERK2018000000145;Zarget EOOD;BULGARIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;6170.60;1;1;
2215;2018-07-17;3327;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;4180.00;0;1;
2216;2018-07-17;3328;23.10.2018;ERK2018000000190;Planet Avto;POLAND;2284ecc5-24c0-4129-8476-4c8c442b2af4;13829.66;1;1;
2217;2018-07-17;3329;;;SPEKTRUM SP.z o.o.;POLAND;2284ecc5-24c0-4129-8476-4c8c442b2af4;6024.44;1;8;
2218;2018-07-16;3299;;;ÖZÇETE OTOMOTİV İNŞ.SAN.VE TİC.A.Ş.;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;2250.00;0;1;
2219;2018-07-16;3300;;;ÖZÇETE OTOMOTİV İNŞ.SAN.VE TİC.A.Ş.;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;6750.00;0;1;
2220;2018-07-16;3302;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;9000.00;0;1;
2221;2018-07-16;3304;7.11.2018;ERK2018000000209;JAPparts, Lda;PORTUGAL;f00e7ade-f6c4-464b-a327-028389cd0f80;12192.42;1;1;
2222;2018-07-16;3308;8.11.2018;ERK2018000000213;SARL IMPORTATION PIECES DETACHEES ARIBI;ALGERIA;f00e7ade-f6c4-464b-a327-028389cd0f80;28824.27;1;1;
2223;2018-07-16;3309;;;MARTAŞ;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;10425.00;0;1;
2224;2018-07-16;3311;19.07.2018;ERK2018000000154;S.AMOIRIDOU-G.EYTHIMIADIS-CH.MAVRONANOS;GREECE;614413df-5596-4d01-a932-c870a26ed87e;3865.25;1;1;
2225;2018-07-16;3313;;;SOCIETE GENERALE AUTO;TUNISIA;f00e7ade-f6c4-464b-a327-028389cd0f80;5700.00;1;8;
2226;2018-07-13;3294;13.08.2018;ERK2018000000145;WEST-OIL;RUSSIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;5138.00;1;1;
2227;2018-07-13;3295;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;54575.94;0;1;
2228;2018-07-13;3296;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;9900.00;0;1;
2229;2018-07-13;3297;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;7200.00;0;1;
2230;2018-07-13;3298;;;ALBAYRAK;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2231;2018-07-12;3289;;;ALBAYRAK;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2232;2018-07-12;3290;;;MERCAN MOTORLU ARAÇLAR;;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;70000.00;0;1;
2233;2018-07-12;3291;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;59375.00;0;1;
2234;2018-07-12;3292;12.10.2018;ERK2018000000172;Zenit-auto;Ukraine;2284ecc5-24c0-4129-8476-4c8c442b2af4;36637.69;1;1;
2235;2018-07-12;3293;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;3600.00;0;1;
2236;2018-07-11;3286;;;ALBAYRAK;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2237;2018-07-11;3287;;;OTO RAS MADENİ YAĞ & FİLTRE;;5017c88e-0ce0-4bc1-a362-4222fa152183;1850.00;0;1;
2238;2018-07-11;3288;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;9000.00;0;1;
2239;2018-07-10;3280;;;REXUS OTOMOTİV YEDEK PARÇA SAN. VE TİC. A.Ş.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;5017.50;0;1;
2240;2018-07-10;3281;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;37800.00;0;1;
2241;2018-07-10;3282;2.08.2018;ERK2018000000131;TTI TURKEY;EGYPT;614413df-5596-4d01-a932-c870a26ed87e;10863.58;1;1;
2242;2018-07-10;3284;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;14400.00;0;1;
2243;2018-07-10;3285;;;ALBAYRAK;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2244;2018-07-10;3353;8.08.2018;ERK2018000000154;MGA S.R.L;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;10206.30;1;1;
2245;2018-07-09;3274;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;14925.00;0;1;
2246;2018-07-09;3275;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;5515.00;0;1;
2247;2018-07-09;3276;29.01.2019;ERK2019000000014;INTERVITO;POLAND;614413df-5596-4d01-a932-c870a26ed87e;36862.63;1;1;
2248;2018-07-09;3277;3.08.2018;ERK2018000000134;Pieces cap spartel S.A.R.L;Morocco;2284ecc5-24c0-4129-8476-4c8c442b2af4;25452.05;1;1;
2249;2018-07-09;3278;;;OTO İSMAİL OTOMOTİV SAN.TİC.LTD.ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;54250.00;0;1;
2250;2018-07-09;3279;;;OTO İSMAİL OTOMOTİV SAN.TİC.LTD.ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;54250.00;0;1;
2251;2018-07-06;3270;20.07.2018;ERK201800000150;BUREN-HALLUM;NETHERLANDS;614413df-5596-4d01-a932-c870a26ed87e;14181.68;1;1;
2252;2018-07-06;3273;3.10.2018;ERK2018000000162;SAMI ZAMEL LTD.;Israel;614413df-5596-4d01-a932-c870a26ed87e;34968.83;1;1;
2253;2018-07-05;3264;;;AKPAR OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;1525.60;0;1;
2254;2018-07-05;3265;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2255;2018-07-05;3266;;;Galip Tic.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;2675.00;0;1;
2256;2018-07-05;3268;;;YCL OTOMOTİV;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;9866.00;0;1;
2257;2018-07-05;3269;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;5017c88e-0ce0-4bc1-a362-4222fa152183;1961.80;0;1;
2258;2018-07-04;3262;;;BOĞAZİÇİ OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2259;2018-07-04;3263;;;MARTAŞ;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;28500.00;0;1;
2260;2018-07-03;3259;;;BOĞAZİÇİ OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;11250.00;0;1;
2261;2018-07-03;3260;;;ADNAN - NUMUNE;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2262;2018-07-03;3261;26.07.2018;ERK2018000000144;"ООО ""AutoSup Trade""";RUSSIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;8761.31;1;1;
2263;2018-07-02;3252;;;OTO AZİZ BABA;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;7972.00;0;1;
2264;2018-07-02;3253;;;TOPALOĞLU;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;7800.00;0;1;
2265;2018-07-02;3254;;;ARİF YEDEK PARÇA;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;2200.00;0;1;
2266;2018-07-02;3255;;;SOYLU OTO - Birol SOYLU;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;2033.00;0;1;
2267;2018-07-02;3256;;;OTO İSMAİL OTOMOTİV SAN.TİC.LTD.ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;17400.00;0;1;
2268;2018-07-02;3257;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;13440.00;0;1;
2269;2018-06-29;3251;;;SEGA FİLTRE SAN. VE DIŞ TİC. LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;100000.00;0;1;
2270;2018-06-28;3245;;;ALBAYRAK;;5017c88e-0ce0-4bc1-a362-4222fa152183;5000.00;0;1;
2271;2018-06-28;3247;;;ADNAN - NUMUNE;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2272;2018-06-28;3248;;;EVRENLER OTOMOTİV SAN.TİC.LTD.ŞTİ.;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;1375.00;0;1;
2273;2018-06-28;3249;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;5017c88e-0ce0-4bc1-a362-4222fa152183;226.82;0;1;
2274;2018-06-28;3250;;;NUMUNE;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2275;2018-06-27;3242;3.07.2018;ERK2018000000136;Zarget EOOD;BULGARIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;7158.60;1;1;
2276;2018-06-27;3244;;;İSMAİL OTOMOTİV;;5017c88e-0ce0-4bc1-a362-4222fa152183;2100.00;0;1;
2277;2018-06-26;3236;;;DURAK RULMAN;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;27500.00;0;1;
2278;2018-06-26;3237;10.07.2018;ERK20180000000142;Goodparts sp.z o.o.sp.k;POLAND;614413df-5596-4d01-a932-c870a26ed87e;8893.80;1;1;
2279;2018-06-26;3240;;;ALBAYRAK;;79a14514-381f-472e-a9ef-8e2d03fb5651;0.00;0;1;
2280;2018-06-25;3232;;;YAMAK TİCARET;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;11350.00;0;1;
2281;2018-06-25;3233;;;Galip Tic.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;6000.00;0;1;
2282;2018-06-25;3234;;;YAMAK TİCARET;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;7835.00;0;1;
2283;2018-06-25;3235;;;KULAÇ OTO SAN. TİC. LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;10937.50;0;1;
2284;2018-06-22;3218;;;EVRENLER OTOMOTİV SAN.TİC.LTD.ŞTİ.;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;500.00;0;1;
2285;2018-06-22;3219;26.06.2018;ERK2018000000132;Repuestos Miguel;SPAIN;2284ecc5-24c0-4129-8476-4c8c442b2af4;4077.86;1;1;
2286;2018-06-22;3220;;;Galip Tic.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;12135.98;0;1;
2287;2018-06-22;3222;;;TEJARAT JOYANE MAKU FREE ZONE;IRAN;614413df-5596-4d01-a932-c870a26ed87e;26500.00;1;1;
2288;2018-06-22;3223;;;BİRMOT;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2289;2018-06-22;3224;;;OYLUM;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;4800.00;0;1;
2290;2018-06-22;3225;;;BOĞAZİÇİ OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;32600.00;0;1;
2291;2018-06-22;3226;;;OYLUM;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;34000.00;0;1;
2292;2018-06-22;3227;15.08.2018;ERK2018000000206;GR DISTRIBUZIONI SRL;ITALY;614413df-5596-4d01-a932-c870a26ed87e;42027.63;1;1;
2293;2018-06-21;3215;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;5017c88e-0ce0-4bc1-a362-4222fa152183;2000.00;0;1;
2294;2018-06-21;3216;;;Galip Tic.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;5700.00;0;1;
2295;2018-06-21;3217;23.10.2018;ERK2018000000203;INTERPART  LTD;GREECE;c348e81c-a4dd-4ba2-a633-beaaf9e59aaf;10730.77;1;1;
2296;2018-06-20;3205;18.07.2018;ERK2018000000147;INTERPART  LTD;GREECE;c348e81c-a4dd-4ba2-a633-beaaf9e59aaf;11256.30;1;1;
2297;2018-06-20;3206;16.10.2018;ERK2018000000199;RECALVI S.L.;Spain;2284ecc5-24c0-4129-8476-4c8c442b2af4;60029.61;1;1;
2298;2018-06-20;3207;;;HAZARBEY;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;31500.00;0;1;
2299;2018-06-20;3208;;;OYLUM;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2300;2018-06-20;3209;;;YAMAK TİCARET;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;6650.00;0;1;
2301;2018-06-20;3210;;;CEYLAN TİCARET;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;18000.00;0;1;
2302;2018-06-20;3211;;;OTO RAS MADENİ YAĞ & FİLTRE;;5017c88e-0ce0-4bc1-a362-4222fa152183;53882.35;0;1;
2303;2018-06-20;3212;19.07.2018;ERK201800000148;PARTS & LUBRICANTS SRL;ITALY;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;41500.00;1;1;
2304;2018-06-20;3214;;;EMRE KARGILI;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;7500.00;0;1;
2305;2018-06-19;3204;;;Adnan;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;323.00;0;1;
2306;2018-06-18;3198;22.06.2018;ERK2018000000186;INTERPART  LTD;GREECE;c348e81c-a4dd-4ba2-a633-beaaf9e59aaf;7430.36;1;1;
2307;2018-06-18;3199;5.09.2018;ERK2018000000149;AUTORENTAS DEL PACIFICO S.P.A.;CHILE;2284ecc5-24c0-4129-8476-4c8c442b2af4;43815.92;1;1;
2308;2018-06-18;3200;;;SEGA FİLTRE SAN. VE DIŞ TİC. LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;2148.58;0;1;
2309;2018-06-18;3202;11.07.2018;ERK20180000000129;Redmman Ltd;UK;2284ecc5-24c0-4129-8476-4c8c442b2af4;5365.00;1;1;
2310;2018-06-12;3193;;;SEGA FİLTRE SAN. VE DIŞ TİC. LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;43.17;0;1;
